"","year","cc","share_for_maj","share_aut","share_dem","state_dummy","state_percent","number_comp","country_text_id","v2x_regime","v2x_polyarchy","v2clkill","v2cltrnslw","v2x_execorr","v2x_ex_military","v2x_ex_hereditary","v2exl_legitperf","v2smgovfilcap","v2smgovfilprc","v2smgovshutcap","v2smgovshut","v2smgovsm","v2smgovsmmon","v2smgovsmcenprc","v2smgovshut_ord","v2smgovfilprc_ord","e_pt_coup","v2clkill_inv","PTS_A","PTS_H","PTS_S","theta_mean","theta_sd","killing_estimate_mean","killing_estimate_median","theta_mean_inv","nat_resources","gdppc","gdppc_growth","pop_total","pop_rural","trade","penetration","no_protests","no_riots","no_vio_against_civ","no_fatalities","pci_score","PTS_S_before","PTS_S_before2","theta_mean_inv_before","theta_mean_inv_before2","v2clkill_before","v2clkill_before2","loggdp","logpop","lognat","logprotest","logviociv","z.pts_s","z.loggdp","z.gdppc_growth","z.logpop","z.pop_rural","z.penetration","z.lognat","z.v2x_ex_military","z.v2x_ex_hereditary","z.trade","z.state_dummy","z.v2cltrnslw","z.theta_mean_inv","z.logprotest","z.logviociv","aut_ep_id","aut_ep","conflict","censor","shut","monitor","onlinerep","treatment_aut","year_factor"
"1",2000,"ANG",0,0,0,1,1,1,"AGO",0,0.158,-1.289,-1.057,0.882,0.333,0,-0.056,-0.031,0.922,0.148,0.335,0.617,-0.385,1.153,4,3,0,1.289,4,NA,5,-1.77954212774968,0.178755051541156,102.653333333333,64,7.11572428144537,59.1425103628059,556.884243549684,-0.234945632722756,16394062,8182768,NA,0.105045562,2,0,18,3971,17,NA,NA,NA,NA,NA,NA,6.3223573970542,16.6124297540594,4.07994996132199,0.693147180559945,2.89037175789616,1.80064684833388,-0.592673776160485,-0.230809273696075,0.270826650697151,-0.33812809715686,-0.66300055557691,1.77236496036042,0.295381453934577,-0.274326546922476,NA,0.63610182605978,-0.769435623761161,1.37849825105126,NA,NA,NA,NA,0,-0.922,-0.335,0.385,0.385,0,"2000"
"2",2000,"BUI",0.666666666666667,0.666666666666667,0,1,0.333333333333333,3,"BDI",0,0.191,-1.456,0.18,0.403,0.833,0,-1.846,-1.652,0.031,-1.907,0.56,-1.293,-0.597,-0.522,4,3,0,1.456,4,NA,5,-2.04452129523463,0.130496986786592,368.059333333333,339,7.38070344893032,15.0609351884312,138.004617225366,-2.86056587976486,6307659,5787529,22.5537244890286,0.077248447,5,0,9,3891,NA,NA,NA,NA,NA,NA,NA,4.92728714275232,15.6572751672652,2.71210431794917,1.6094379124341,2.19722457733622,1.80064684833388,-1.92676536797291,-0.589907967246587,-0.45604239203487,-0.461030301350216,-0.664891669564319,0.446880272542354,3.36025249695692,-0.274326546922476,-1.2026055839338,0.63610182605978,0.453786928760318,1.67253823341117,NA,NA,NA,NA,0,-0.031,-0.56,0.597,0.597,1,"2000"
"3",2000,"CAO",0.666666666666667,0,0.666666666666667,1,0.333333333333333,3,"CMR",1,0.307,0.841,-0.006,0.926,0.357,0,1.047,0.51,1.017,0.416,0.254,0.267,-0.464,-0.84,4,3,0,-0.841,4,NA,4,-1.16546152770221,0.188104819947169,0.439333333333333,0,6.5016436813979,8.33574817486337,700.16323623489,1.13112675064183,15091594,8218580,47.9279442460149,0.252120078,1,0,0,16,20,NA,NA,NA,NA,NA,NA,6.55131350247904,16.5296484580347,2.1205532752053,0,-Inf,0.706078091471365,-0.373725365355002,-0.0439753975046139,0.207830396237949,-0.33629054619156,-0.652994672793786,-0.126350963758844,0.442495263999649,-0.274326546922476,-0.50289377336817,0.63610182605978,0.269858557888051,0.697070157970028,NA,NA,NA,NA,0,-1.017,-0.254,0.464,0.464,0,"2000"
"4",2000,"CDI",1,0.25,0.75,0,0,4,"CIV",1,0.274,0.179,0.861,0.637,0.375,0,0.085,1.109,0.666,0.981,1.768,1.542,-0.402,1.292,4,3,0,-0.179,3,NA,4,-1.79852701589033,0.12261345219887,86.9773333333333,82.5,7.13470916958602,2.86211491053466,986.777352839567,-2.959710897695,16799670,9549772,54.9639916295152,0.231461671,4,2,28,260,27,NA,NA,NA,NA,NA,NA,6.89444443429007,16.6368698013234,1.05156083075965,1.38629436111989,3.3322045101752,0.706078091471365,-0.0455927214194926,-0.603467752387209,0.289425434605802,-0.267985700201426,-0.654400120892817,-1.16223766879088,0.552830621548453,-0.274326546922476,-0.308869858501623,-1.570014961593,1.12720209308298,1.39956525124967,NA,NA,NA,NA,0,-0.666,-1.768,0.402,0.402,1,"2000"
"5",2000,"CEN",0.5,0.5,0,1,0.5,2,"CAF",1,0.34,-0.844,0.521,0.761,0.4,0,0.944,-1.28,0.942,0.611,0.843,1.749,1.699,1.181,4,3,0,0.844,NA,NA,2,-0.186152234357432,0.284611641598977,0,0,5.52233438805313,11.1834541155259,243.877580075298,-5.18220026360443,3759170,2344256,45.6597819937269,0.053394174,1,2,1,9,NA,NA,NA,NA,NA,NA,NA,5.49666637838623,15.1397087463175,2.41443537488732,0,0,-1.48305942225366,-1.38227375655087,-0.907431369603779,-0.849908488838303,-0.637708220062909,-0.666514541194335,0.158429870277241,0.70607417369957,-0.274326546922476,-0.565439929719168,0.63610182605978,0.790988942026143,-0.389642016700636,NA,NA,NA,NA,0,-0.942,-0.843,-1.699,-0.843,1,"2000"
"6",2000,"CHA",0.333333333333333,0,0.333333333333333,1,0.666666666666667,3,"TCD",1,0.283,-1.405,-1.108,0.97,0.1,0,-1.208,-0.367,-0.588,1.157,-1.004,-0.847,-0.253,-0.726,3,2,0,1.405,3,NA,4,-1.31133161771352,0.1787883984384,1.55666666666667,0,6.64751377140922,10.5734977135563,168.117658247775,-4.20701536982699,8259137,6472108,51.5711720135652,0.035707076,0,0,1,560,NA,NA,NA,NA,NA,NA,NA,5.12466408098789,15.9268306606199,2.35835065465704,-Inf,0,0.706078091471365,-1.73801579575188,-0.774058075533481,-0.25091167693723,-0.425903840882395,-0.667717842991103,0.104082043644925,-1.13284845211383,-0.274326546922476,-0.40242922620377,0.63610182605978,-0.819867596419686,0.858938123293012,NA,NA,NA,NA,0,0.588,1.004,0.253,1.004,0,"2000"
"7",2000,"CON",0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,3,"COG",0,0.161,-1.458,-0.889,0.847,0.8,0,-1.585,1.597,-1.196,0.858,-0.801,-1.096,-0.541,-1.203,3,2,0,1.458,5,NA,3,-1.35454339002633,0.220457198801201,5.64933333333333,0,6.69072554372203,59.6838725227388,1029.96068881894,3.54720581589751,3134030,1294511,123.909884405671,0.026354732,0,0,1,96,NA,NA,NA,NA,NA,NA,NA,6.93727591430013,14.9578302742837,4.08906184190596,-Inf,0,-0.388490665391148,-0.00463340975034685,0.286464938193386,-0.988317320967273,-0.691571727771724,-0.668354108609081,1.78119465415649,3.15797100811744,-0.274326546922476,1.5923612306705,0.63610182605978,-0.603306772650726,0.906889020298229,NA,NA,NA,NA,0,1.196,0.801,0.541,1.196,1,"2000"
"8",2000,"DJI",0,0,0,1,1,1,"DJI",1,0.254,0.659,0.253,0.709,0.3,0,-0.012,-1.068,-1.11,-0.897,-0.756,-0.65,-0.404,-1.405,3,2,0,-0.659,NA,NA,2,0.019504487629522,0.269394610249139,0,0,5.31667766606617,0.382079268168498,742.865697154312,NA,742033,174140,NA,0.194500528,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6.61051527084794,13.5171489955541,-0.962127183607933,-Inf,-Inf,-1.48305942225366,-0.317111312293636,NA,-2.08467034740971,-0.749059128993195,-0.656914688844128,-3.11356356730785,0.0930999650951019,-0.274326546922476,NA,0.63610182605978,0.525973870016639,-0.617853537927781,NA,NA,NA,0,0,1.11,0.756,0.404,1.11,0,"2000"
"9",2000,"DRC",0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,3,"COD",0,0.152,-1.448,-1.16,0.927,0.75,0,-1.544,0.042,-0.436,-1.084,-0.502,-1.315,-0.742,-1.147,3,2,0,1.448,5,NA,5,-1.81596580392418,0.12453902181511,94.738,87,7.15214795761987,7.51126046065517,392.626333784131,-9.57069432425411,48616317,31541294,27.0144029227569,0.005902114,0,0,5,1680,NA,NA,NA,NA,NA,NA,NA,5.97285835494729,17.6994697732632,2.01640328933006,-Inf,1.6094379124341,1.80064684833388,-0.926896179644132,-1.50763335449052,1.09806001071487,0.860422165304559,-0.669745556317914,-0.227275517770434,2.85148390381521,-0.274326546922476,-1.07959926440527,0.63610182605978,-0.871288431287202,1.41891658733591,NA,NA,NA,NA,0,0.436,0.502,0.742,0.742,1,"2000"
"10",2000,"EGY",0.666666666666667,0,0.666666666666667,1,0.333333333333333,3,"EGY",0,0.219,-0.89,-0.73,0.763,0.35,0,-1.222,0.169,-2.052,-0.24,0.336,-1.183,-1.856,-1.61,4,1,0,0.89,3,NA,3,-0.726261465596211,0.2100023813909,0.006,0,6.0624436192919,7.41974591133175,1398.85983078672,4.18886598221562,71371371,40826565,39.0179359012055,0.641265038,4,11,2,77,31,NA,NA,NA,NA,NA,NA,7.24341277721323,18.0834073805147,2.00414481283713,1.38629436111989,0.693147180559945,-0.388490665391148,0.288122179795631,0.374222993718673,1.39023508364046,1.33685907720882,-0.626520073649745,-0.239154360215906,0.399587069397336,-0.274326546922476,-0.748593468996641,0.63610182605978,-0.446077681421207,0.209702114135206,NA,NA,NA,0,0,2.052,-0.336,1.856,2.052,0,"2000"
