"year","cc","share_for_maj","share_aut","share_dem","state_dummy","state_percent","number_comp","country_text_id","v2x_regime","v2x_polyarchy","v2clkill","v2cltrnslw","v2x_execorr","v2x_ex_military","v2x_ex_hereditary","v2exl_legitperf","v2smgovfilcap","v2smgovfilprc","v2smgovshutcap","v2smgovshut","v2smgovsm","v2smgovsmmon","v2smgovsmcenprc","v2smgovshut_ord","v2smgovfilprc_ord","e_pt_coup","v2clkill_inv","PTS_A","PTS_H","PTS_S","theta_mean","theta_sd","killing_estimate_mean","killing_estimate_median","theta_mean_inv","nat_resources","gdppc","gdppc_growth","pop_total","pop_rural","trade","penetration","no_protests","no_riots","no_vio_against_civ","no_fatalities","pci_score","PTS_S_before","PTS_S_before2","theta_mean_inv_before","theta_mean_inv_before2","v2clkill_before","v2clkill_before2"
2000,"EGY",0.666666666666667,0,0.666666666666667,1,0.333333333333333,3,"EGY",0,0.219,-0.89,-0.73,0.763,0.35,0,-1.222,0.169,-2.052,-0.24,0.336,-1.183,-1.856,-1.61,4,1,0,0.89,3,NA,3,-0.726261465596211,0.2100023813909,0.006,0,6.0624436192919,7.41974591133175,1398.85983078672,4.18886598221562,71371371,40826565,39.0179359012055,0.641265038,4,11,2,77,31,NA,NA,NA,NA,NA,NA
2000,"EQG",0,0,0,1,1,1,"GNQ",1,0.188,-1.037,-1.42,0.939,0.25,0,0.125,1.05,-1.15,0.358,-0.912,-1.244,-1.274,-0.967,3,2,0,1.037,2,NA,3,-0.32872175744827,0.229254292996745,0,0,5.66490391114396,88.5923456549581,1527.05637771592,13.0453344731756,684977,348708,NA,0.132354665,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
2000,"ERI",0,0,0,1,1,1,"ERI",0,0.121,-1.121,-2.088,0.509,0.3,0,-0.101,-1.434,-1.835,1.271,-2.604,-1.924,-1.78,-2.562,1,1,0,1.121,4,NA,2,-0.114146585091061,0.226593031197045,0,0,5.45032873878675,4.92225490549683,295.19692403481,-4.61549158904921,2392880,1756685,67.8813619265146,0.136711941,0,0,1,193,NA,NA,NA,NA,NA,NA,NA
2000,"ETH",0,0,0,1,1,1,"ETH",1,0.24,-0.604,0.099,0.473,0.286,0,0.196,-0.58,-0.962,0.836,-1.035,-0.668,-0.036,-1.07,3,2,0,0.604,4,NA,3,-1.06504925073284,0.197080456263039,0.138666666666667,0,6.40123140442854,18.4852654796037,122.961659681414,2.98069409750323,67031867,57151370,NA,0.015263767,0,5,0,1413,32,NA,NA,NA,NA,NA,NA
2000,"GAB",1,0.5,0.5,0,0,2,"GAB",1,0.34,2.056,0.866,0.821,0.417,0,1.58,-0.081,0.708,0.579,-1.701,-0.463,0.674,0.227,2,3,0,-2.056,NA,NA,2,0.987992607535355,0.24595113934816,0,0,4.34818954616034,47.7698658424489,3991.15715141003,-4.36268695523565,1272935,268857,101.701928939637,1.216140618,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2000,"GAM",0,0,0,1,1,1,"GMB",1,0.258,-1.022,-0.756,0.747,0.375,0,0.446,0.882,-0.655,0.256,-1.136,-0.635,-0.185,-0.385,2,2,0,1.022,3,NA,3,0.401854853381079,0.229648979353391,0,0,4.93432730031461,2.25584549955561,544.620961107601,2.48810279380524,1437539,749418,56.3598198850954,0.921794919,0,3,2,18,NA,NA,NA,NA,NA,NA,NA
2000,"GHA",0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,3,"GHA",2,0.667,2.177,2.03,0.668,0.25,0,1.955,0.254,1.636,-1.035,1.33,1.2,1.454,1.94,4,4,0,-2.177,2,NA,2,0.374478637872219,0.210443519510706,0,0,4.96170351582347,13.7597235776938,253.380293175761,1.12293234445129,19665502,11026644,116.048430162968,0.153615298,1,0,1,34,35,NA,NA,NA,NA,NA,NA
2000,"GNB",1,0.5,0.5,0,0,2,"GNB",1,0.432,-0.29,0.455,0.962,0.2,0,-0.077,-2.136,1.078,-1.479,1.485,0.722,0.762,1.545,4,3,0,0.29,2,NA,2,0.689845033199358,0.283450037459443,0,0,4.64633712049634,11.8568115340533,301.495570983905,3.3391741443949,1230849,784752,54.8733509134716,0.230103171,0,0,1,14,NA,NA,NA,NA,NA,NA,NA
2000,"GUI",0.666666666666667,0.333333333333333,0.333333333333333,0,0,3,"GIN",1,0.268,-0.492,-0.482,0.959,0.4,0,0.009,-1.259,0.291,0.094,-0.38,0.312,0.814,-1.155,3,3,0,0.492,3,NA,4,-0.908957218301688,0.208409390587683,0.00466666666666667,0,6.24513937199738,12.3846874448677,359.286670018273,0.510408915766945,8336967,5763429,53.4817190113594,0.095424924,5,9,5,1345,NA,NA,NA,NA,NA,NA,NA
2000,"KEN",0.333333333333333,0,0.333333333333333,1,0.666666666666667,3,"KEN",1,0.377,-1.051,0.205,0.783,0.188,0,-0.262,-0.872,1.522,-0.73,1.385,1.792,0.51,1.215,4,4,0,1.051,3,NA,3,-0.878466453597691,0.19367060700413,0.00933333333333333,0,6.21464860729338,3.31396754858766,411.821352113869,-2.29089371405009,30851606,24714605,53.3090443862273,0.318059714,0,6,5,449,21,NA,NA,NA,NA,NA,NA
2000,"LBR",0,0,0,1,0.5,2,"LBR",1,0.344,-1.809,-1.102,0.865,0.2,0,-0.793,-2.611,1.321,-2.045,1.15,1.205,2.109,1.475,4,4,0,1.809,4,NA,4,-1.70635756717957,0.119793648162025,43.3666666666667,40,7.04253972087526,17.8409546807596,301.87646966176,NA,2895224,1611742,NA,0.017702706,0,0,26,43,NA,NA,NA,NA,NA,NA,NA
2000,"LES",0.5,0,0.5,1,0.5,2,"LSO",0,0.315,0.841,1.548,0.554,0.3,0,0.908,-1.159,1.381,-1.279,1.226,1.049,0.26,0.079,4,4,0,-0.841,2,NA,1,1.02920086191128,0.220171930632845,0,0,4.30698129178442,3.45870923985656,443.949949675926,3.64753961738866,1998630,1607938,NA,0.21180607,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
2000,"LIB",0,0,0,1,1,1,"LBY",0,0.072,-1.356,-1.524,0.847,0.667,0,0.5,-0.155,-1.471,0.078,-1.391,-1.177,-0.837,-0.694,2,1,0,1.356,3,NA,3,-0.631721811355425,0.213106879522526,0.000666666666666667,0,5.96790396505112,34.2584472905959,7424.35347156722,1.73247452682546,5154790,1217201,45.2810937659422,0.187042622,0,0,1,52,NA,NA,NA,NA,NA,NA,NA
2000,"MAA",0.5,0.5,0,1,0.5,2,"MRT",1,0.308,0.934,-0.249,0.673,0.417,0,-0.511,-0.975,1.396,1.521,1.207,1.173,-1.246,-0.338,4,4,0,-0.934,3,NA,2,0.420574635954947,0.208812539994986,0,0,4.91560751774075,3.27487284480144,660.303861060692,-6.5702419319765,2695003,1668449,58.9403747670668,0.192031462,2,0,0,1,NA,NA,NA,NA,NA,NA,NA
2000,"MAG",NA,0,0.333333333333333,1,0.333333333333333,3,"MDG",2,0.507,0.809,0.627,0.705,0.2,0,-0.564,-3.122,1.979,-1.762,0.878,1.185,1.046,1.112,4,4,0,-0.809,2,NA,2,0.764960990136351,0.236592558705027,0,0,4.57122116355934,3.28334073398533,285.466463233818,1.32925274615536,16216431,11818373,42.7771226639725,0.196394691,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
2000,"MAW",0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,3,"MWI",1,0.474,-0.519,1.774,0.766,0.3,0,0.828,-1.226,1.714,-1.709,0.706,0.922,-0.456,0.964,4,4,0,0.519,2,NA,2,0.578112484240591,0.228693097015066,0,0,4.7580696694551,10.1509116653401,225.952456739454,-0.734438442703805,11229387,9588774,NA,0.126780945,2,2,1,4,41,NA,NA,NA,NA,NA,NA
2000,"MLI",0,0,0,1,1,1,"MLI",2,0.511,1.051,1.233,0.89,0.167,0,1.107,0.026,0.998,1.297,-0.493,-0.019,0.144,0.003,3,3,0,-1.051,1,NA,2,1.19940552529633,0.234574079501608,0,0,4.13677662839937,5.46367811888986,263.498384244829,-2.92505022967933,11239101,8052142,55.4225754322684,0.142545755,0,0,1,8,NA,NA,NA,NA,NA,NA,NA
2000,"MOR",NA,0,0,1,0.5,2,"MAR",0,0.237,1.629,-0.303,0.527,0.083,0.583,0.359,1.016,-0.661,0.191,-0.838,-0.945,-0.828,-0.582,3,2,0,-1.629,2,NA,3,0.248870551154858,0.214659909657203,0,0,5.08731160254083,0.305325348108431,1492.37707519531,1.19245094050264,28554415,13324918,53.4403058388785,0.693791245,6,5,0,0,47,NA,NA,NA,NA,NA,NA
2000,"MZM",0,0,0,1,1,2,"MOZ",1,0.422,1.271,0.906,0.593,0.125,0,0.274,-1.702,2.353,1.098,1.885,1.8,1.793,1.15,4,4,0,-1.271,3,NA,3,-0.423023567721088,0.21666246906535,0,0,5.75920572141678,6.21223527949675,333.775138348215,-1.67579097532069,17768505,12598225,NA,0.10959253,0,1,2,2,22,NA,NA,NA,NA,NA,NA
2000,"NAM",0,0,0,1,1,2,"NAM",2,0.656,2.329,1.894,0.306,0,0,0.675,0.059,0.995,0.571,1.35,1.232,1.114,1.363,4,3,0,-2.329,3,NA,2,-0.0749934783640124,0.207309864485505,0,0,5.41117563205971,0.592005978212752,2156.09024524858,1.16740228237646,1819141,1230230,85.1322442947268,1.644739547,1,0,5,160,54,NA,NA,NA,NA,NA,NA
2000,"NIG",0,0,0,1,1,1,"NGA",1,0.478,-1.058,-0.144,0.867,0.167,0,1.558,-0.059,-0.302,-1.177,0.905,1.373,-0.102,1.338,4,2,0,1.058,3,NA,3,-1.68931262005768,0.227583447776146,76.4673333333333,31,7.02549477375338,24.9357339994509,563.047086217561,2.31777490072069,122851984,80050353,NA,0.064080808,3,9,8,3345,12,NA,NA,NA,NA,NA,NA
